, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
72, Dell , 5490-cr , 14 Inches , Black , 256 GB , Core i5 Family , 8 GB , Windows 10 Pro ," Anti Glare Screen, Thin ", Integrated ,"₹20,999.00",,,,,,,,,,,,
73, HP , HP 250 G8 , 15.6 Inches , Black , 512 GB , Intel Core i3 , 8 GB , DOS ," Light Weight, Thin ", Integrated ,"₹34,290.00",,,,,,,,,,,,
74, HP , 15s , 15.6 Inches , Natural Silver , 512 GB , Core i5 , 8 GB , Windows 11 Home ," FHD, Micro-Edge Display ", Integrated ,"₹54,999.00",,,,,,,,,,,,
75, Lenovo , ThinkPad X260 ,,,, Core i5 ,, Windows 10 Pro ," Spill resistant, FHD Webcam, Anti Glare Coating ",,"₹16,631.00",," 3.0, 2.4 GHz "," HDD, Solid State Hard Drive ", 1.5 Kilograms ," Bluetooth, Wi-Fi, USB, Ethernet, HDMI ",, 1280 x 720 ,,,,,
76, MSI , Modern 15 B7M-073IN , 40 Centimetres ,,, Ryzen 7 , 16 GB , Windows 11 Home ," Light Weight, Thin ", Integrated ,"₹54,990.00", AMD Radeon Graphics , 4.5 GHz ,,,,,,,,,,
77, Dell , 3380-cr , 13.3 Inches , Grey , 256 GB , Core i5 Family , 8 GB , Windows 10 Pro , Thin , Integrated ,"₹17,499.00",,,,,,,,,,,,
78, HP , 15-fd0019TU , 39.6 Centimetres , Diamond White , 512 GB , Core i3 , 8 GB , Windows 11 Home ," FHD, Micro-Edge Display, Anti-Glare ", Integrated ,"₹46,990.00",,,,,,,,,,,,
79, Dell , 5490-cr , 14 Inches , Black , 256 GB , Core i5 Family , 16 GB , Windows 10 Pro ," Anti Glare Screen, Thin ", Integrated ,"₹21,499.00",,,,,,,,,,,,
80, ASUS , Vivobook 15 (2023) , 15.6 Inches , Quiet Blue , 512 GB , Core i3 , 8 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹45,990.00",,,,,,,,,,,,
81, Xiaomi , Mi Notebook , 15.6 Inches , Lustrous Gray , 512 GB , Core i5 , 16 GB , Windows 11 ," Fingerprint Reader, Backlit Keyboard ", Integrated ,"₹55,999.00",,,,,,,,,,,,
